"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","he-lazy-image src"
"https://www.hepsiemlak.com/afyonkarahisar-dinar-camikebir-kiralik/daire/3884-1383","1 / 21","15.000","11/07/2026","Afyon Dinar Ptt Karşısı Şehir Merkezi Katta Kiralık 2+1 Daire","Kiralık Daire","2 + 1","108 m²","31 Yaşında","3. Kat","Afyonkarahisar / Dinar / Camikebir Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/170015-61","1 / 8","14.000","09/09/2026","Erenler Mah. Veterinerlik Fakültesi Yakınında 2+0 Temiz Daire","Kiralık Daire","2 + 0","65 m²","6 Yaşında","1. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dortyol-kiralik/daire/146381-368","1 / 11","22.000","06/07/2026","İdeal'den Konum Avantajlı Arakat Eşyalı Kiralık 2+1 Daire","Kiralık Daire","2 + 1","90 m²","6 Yaşında","3. Kat","Afyonkarahisar / Merkez / Dörtyol Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-veysel-karani-kiralik/daire/87840-3463","1 / 17","12.000","06/08/2026","Öztürk Emlak'tan Veysel Karani Mh'de Geniş Bakımlı Doğalgazlı 2+0","Kiralık Daire","2 + 0","85 m²","8 Yaşında","1. Kat","Afyonkarahisar / Merkez / Veysel Karani Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-hamidiye-kiralik/daire/87840-3460","1 / 12","13.000","06/08/2026","Öztürk Emlak'tan Merkez Hamidiye Mh'de 3+1 Doğalgazlı Daire","Kiralık Daire","3 + 1","115 m²","19 Yaşında","2. Kat","Afyonkarahisar / Merkez / Hamidiye Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/165299-20","1 / 17","20.000","18/08/2026","Kalkan Gayrimenkul'den Erenlerde Lüx Eşyalı 2+0 Kiralık Daire","Kiralık Daire","2 + 0","70 m²","1 Yaşında","2. Kat","Afyonkarahisar / Merkez / Erenler Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-dinar-pancar-kiralik/daire/164179-149","1 / 31","15.000","29/08/2026","Afyon Dinar Pancar Mahallesi Kiralık Arakat Daire","Kiralık Daire","2 + 1","120 m²","26 Yaşında","2. Kat","Afyonkarahisar / Dinar / Pancar Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/5/7/1/9/6/4/fa7bc781-f323-4218-a386-61dc24dad60b.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-dinar-fatih-kiralik/daire/0-45891777","1 / 24","17.000","30/08/2026","Sahibinden Site İçi Ara Kat Kiralık Eşyalı Daire","Kiralık Daire","2 + 1","98 m²","13 Yaşında","2. Kat","Afyonkarahisar / Dinar / Fatih Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-yenice-kiralik/daire/87840-3459","1 / 10","14.000","06/08/2026","Öztürk Emlak'tan Yenice Mh'de 1.Kat Isı Yalıtımlı Doğalgazlı 2+1","Kiralık Daire","2 + 1","95 m²","17 Yaşında","1. Kat","Afyonkarahisar / Merkez / Yenice Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-bolvadin-yenice-kiralik/daire/0-44826314","1 / 12","12.000","15/08/2026","Kiralık Ful Eşyalı 1+1çatı Katı","Kiralık Daire","1 + 1","80 m²","15 Yaşında","Çatı Katı","Afyonkarahisar / Bolvadin / Yenice Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
